證券代號,股本
1101,772.3181742
1102,354.6562881
1103,79.0247459
1104,68.6681816
1108,40.4738049
1109,34.1158868
1110,57.2000797
1201,50.6062914
1203,24.0
1210,89.4767222
1213,5.6622627
1215,29.4790098
1216,568.2015421
1217,49.4513336
1218,49.9999038
1219,34.1238364
1220,17.7077944
1225,24.2268306
1227,91.5089591
1229,179.5960668
1231,29.8454475
1232,15.9974915
1233,9.0591948
1234,40.1871094
1235,18.8577836
1236,8.6674008
1256,3.577216
1301,636.5740781
1303,793.0821589
1304,118.87635
1305,58.1050494
1307,39.7818126
1308,59.3743919
1309,39.7586848
1310,52.7869764
1312,112.6620328
1313,133.0846107
1314,378.485013
1315,9.9099
1316,36.8531186
1319,59.1477068
1321,22.7228268
1323,9.1274554
1324,7.5121882
1325,8.5281198
1326,586.1186291
1337,26.8954729
1338,8.384
1339,7.4123875
1340,15.2922855
1341,5.2850634
1342,7.8000902
1402,535.2875227
1409,161.8409286
1410,6.2
1413,13.2112454
1414,19.8
1416,18.5342168
1417,18.994184
1418,5.6834309
1419,30.004128
1423,9.9648
1432,10.8
1434,168.4664637
1435,13.978008
1436,19.4151795
1437,20.1871284
1438,11.1205759
1439,9.2
1440,165.6815857
1441,7.1744387
1442,36.6211358
1443,13.5343011
1444,99.5595059
1445,13.0666034
1446,13.7709513
1447,91.0071242
1449,12.7114572
1451,19.8
1452,13.26414
1453,11.3243048
1454,12.9833848
1455,53.168838
1456,9.372
1457,31.6730022
1459,35.8628907
1460,69.4643484
1463,17.3268381
1464,42.5575733
1465,10.3607267
1466,11.115732
1467,23.3624667
1468,16.0405244
1470,8.5767
1471,15.0414536
1472,5.2488082
1473,14.6153534
1474,12.9896969
1475,6.6016749
1476,27.4367111
1477,24.6693713
1503,52.0972223
1504,237.6440684
1506,30.0388501
1512,9.8183498
1513,50.3112515
1514,27.3108473
1515,18.14735
1516,4.0008195
1517,22.0000007
1519,31.5880844
1521,7.623
1522,34.2897881
1524,16.5310397
1525,7.3400135
1526,6.0
1527,13.857064
1528,19.1331
1529,15.5095074
1530,9.4594171
1531,18.210808
1532,42.2604271
1533,9.8547486
1535,12.3742552
1536,27.8959513
1537,8.2062794
1538,3.23
1539,6.537
1540,8.5473612
1541,7.88
1558,6.4535631
1560,14.729188
1563,22.560814
1568,10.3086559
1582,14.4268604
1583,10.9400372
1587,8.0055672
1589,15.3135941
1590,19.9999998
1597,8.9261804
1598,17.9142092
1603,19.1688
1604,38.42
1605,443.1332948
1608,63.2773506
1609,78.5261944
1611,32.2735742
1612,31.6080063
1614,26.9113406
1615,19.6663702
1616,19.4148515
1617,16.95147
1618,19.2691747
1623,6.6
1626,14.9821721
1702,29.4132962
1707,14.8137373
1708,24.9001651
1709,47.7016272
1710,88.5703029
1711,54.7752226
1712,42.0492585
1713,15.09517
1714,99.1824808
1717,117.2245483
1718,168.5905745
1720,17.8696089
1721,18.4884092
1722,98.0
1723,23.690448
1725,18.1829978
1726,16.2
1727,12.8019559
1730,6.3233851
1731,13.2915244
1732,4.2443957
1733,9.9950192
1734,19.0196774
1735,9.9388
1736,30.3394617
1737,20.0
1752,10.0988472
1760,8.5739013
1762,7.6918
1773,30.0
1776,6.0106952
1783,8.9680115
1786,7.4827641
1789,79.0739222
1795,26.6873812
1802,290.80608
1805,13.4970455
1806,39.040387
1808,89.3031743
1809,16.7041937
1810,30.2303719
1817,7.26
1903,26.0039121
1904,110.8274522
1905,110.2835316
1906,15.1
1907,166.0371495
1909,132.7685727
